index,name
0,Tregs in central comp.
3,Treg/Tcyt in central comp.
8,(Th+Tcyt)/T cells in central comp.
11,Treg/T cells in central comp.
12,Tcyt diversity in central comp.
13,Tcyt evenness in central comp.
14,Exhausted Tcyt
15,Exhausted Th
17,Angiogenic factor
19,immature APC
20,mAPC
27,CCL2
43,M2/M1 Mac ratio
44,M1/(M1+M2) Mac
45,M2/(M1+M2) Mac
48,Immune act. cells
51,Immune act. cell fraction
52,MDSC fraction
62,Exhausted Tcyt fraction
63,Exhausted Th fraction
64,Immune cell fraction
71,Tumor diameter
74,Tregs in LNs
76,Th in LNs
77,Tcyt in LNs
81,Th+Tcyt in LNs
82,T cells in LNs
85,Tcyt/T cells in LNs
87,APCs in LNs
